"Title","Artist","Year","TotalPlays"
"LIKE A STONE","Audioslave",2002,1
"TURN UP THE RADIO","Autograph",1984,21
"LET IT RIDE","Bachman-Turner Overdrive",1973,13
"TAKIN' CARE OF BUSINESS","Bachman-Turner Overdrive",1973,39
"YOU AIN'T SEEN NOTHIN' YET","Bachman-Turner Overdrive",1974,69
"BAD COMPANY","Bad Company",1974,96
"BURNIN' SKY","Bad Company",1977,41
"CAN'T GET ENOUGH","Bad Company",1974,41
"SEAGULL","Bad Company",1974,1
"SHOOTING STAR","Bad Company",1975,62
"WHEN I SEE YOU SMILE","Bad English",1989,1
"NO MATTER WHAT","Badfinger",1970,2
"(YOU GOTTA) FIGHT FOR YOUR RIGHT (TO PARTY)","Beastie Boys",1986,4
"NO SLEEP TILL BROOKLYN","Beastie Boys",1986,3
"LOSER","Beck",1994,1
"IN A BIG COUNTRY","Big Country",1983,2
"ROCK AROUND THE CLOCK","Bill Haley",1955,1
"AIN'T NO SUNSHINE","Bill Withers",1971,1
"CRADLE OF LOVE","Billy Idol",1990,6
"DANCING WITH MYSELF","Billy Idol",1980,20
"EYES WITHOUT A FACE","Billy Idol",1984,2
"REBEL YELL","Billy Idol",1984,89
"WHITE WEDDING","Billy Idol",1982,84
"ALLENTOWN","Billy Joel",1982,1
"BIG SHOT","Billy Joel",1978,27
"CAPTAIN JACK","Billy Joel",1973,7
"GOODNIGHT SAIGON","Billy Joel",1983,1
"IT'S STILL ROCK AND ROLL TO ME","Billy Joel",1980,22
"MIAMI 2017 {SEEN THE LIGHTS GO OUT ON BROADWAY} (LIVE 1","Billy Joel",1976,5
"MOVIN' OUT (ANTHONY'S SONG)","Billy Joel",1977,26
"MY LIFE","Billy Joel",1978,11
"NEW YORK STATE OF MIND","Billy Joel",1976,2
"ONLY THE GOOD DIE YOUNG","Billy Joel",1977,21
"PIANO MAN","Billy Joel",1973,37
"SCENES FROM AN ITALIAN RESTAURANT","Billy Joel",1977,3
"SHE'S ALWAYS A WOMAN","Billy Joel",1977,1
"SOMETIMES A FANTASY","Billy Joel",1980,3
"THE BALLAD OF BILLY THE KID","Billy Joel",1973,2
"THE STRANGER","Billy Joel",1977,5
"YOU MAY BE RIGHT","Billy Joel",1980,30
"LONELY IS THE NIGHT","Billy Squier",1981,80
"ROCK ME TONIGHT","Billy Squier",1984,1
"THE STROKE","Billy Squier",1981,83
"FAIRIES WEAR BOOTS","Black Sabbath",1970,1
"HEAVEN AND HELL","Black Sabbath",1980,1
"IRON MAN","Black Sabbath",1972,40
"N.I.B.","Black Sabbath",1970,8
"NEON KNIGHTS","Black Sabbath",1980,1
"PARANOID","Black Sabbath",1970,105
"SWEET LEAF","Black Sabbath",1971,34
"THE WIZARD","Black Sabbath",1970,1
"WAR PIGS","Black Sabbath",1970,38
"TRAIN, TRAIN","Blackfoot",1979,25
"CAN'T FIND MY WAY HOME","Blind Faith",1969,4
"PRESENCE OF THE LORD","Blind Faith",1969,1
"NO RAIN","Blind Melon",1992,2
"ALL THE SMALL THINGS","Blink-182",1999,1
"CALL ME","Blondie",1980,26
"HEART OF GLASS","Blondie",1978,11
"ONE WAY OR ANOTHER","Blondie",1978,21
"(DON'T FEAR) THE REAPER","Blue Oyster Cult",1976,99
"BURNIN' FOR YOU","Blue Oyster Cult",1981,107
"GODZILLA","Blue Oyster Cult",1977,9
"I LOVE THE NIGHT","Blue Oyster Cult",1977,2
"SONG 2","Blur",1997,3
"JUST LIKE A WOMAN","Bob Dylan",1966,1
"KNOCKIN' ON HEAVEN'S DOOR","Bob Dylan",1973,22
"LIKE A ROLLING STONE","Bob Dylan",1965,3
"POSITIVELY 4TH STREET","Bob Dylan",1965,3
"SUBTERRANEAN HOMESICK BLUES","Bob Dylan",1965,1
"TANGLED UP IN BLUE","Bob Dylan",1975,5
"NO WOMAN, NO CRY","Bob Marley",1975,1
"ONE LOVE","Bob Marley",1977,2
"AGAINST THE WIND","Bob Seger",1980,39
"FIRE DOWN BELOW","Bob Seger",1977,1
"HER STRUT","Bob Seger",1980,29
"HOLLYWOOD NIGHTS","Bob Seger",1978,43
"KATMANDU","Bob Seger",1975,7
"MAINSTREET","Bob Seger",1977,7
"NIGHT MOVES","Bob Seger",1976,47
"OLD TIME ROCK & ROLL","Bob Seger",1978,42
"RAMBLIN' GAMBLIN' MAN","Bob Seger",1968,12
"ROCK AND ROLL NEVER FORGETS","Bob Seger",1977,24
"STILL THE SAME","Bob Seger",1978,15
"TURN THE PAGE","Bob Seger",1973,91
"WE'VE GOT TONITE","Bob Seger",1978,1
"BAD MEDICINE","Bon Jovi",1988,7
"BLAZE OF GLORY","Bon Jovi",1990,8
"BORN TO BE MY BABY","Bon Jovi",1989,1
"LAY YOUR HANDS ON ME","Bon Jovi",1988,2
"LIVIN' ON A PRAYER","Bon Jovi",1986,74
"RUNAWAY","Bon Jovi",1984,41
"WANTED DEAD OR ALIVE","Bon Jovi",1986,87
"YOU GIVE LOVE A BAD NAME","Bon Jovi",1986,63
"GREEN ONIONS","Booker T. and the MG's",1962,4
"AMANDA","Boston",1986,4
"DON'T LOOK BACK","Boston",1978,86
"FOREPLAY (LONG TIME)","Boston",1976,94
"HITCH A RIDE","Boston",1976,11
"LET ME TAKE YOU HOME TONIGHT","Boston",1976,22
"MORE THAN A FEELING","Boston",1976,134
"PEACE OF MIND","Boston",1976,132
"ROCK & ROLL BAND","Boston",1976,59
"SMOKIN'","Boston",1976,33
"LIDO SHUFFLE","Boz Scaggs",1976,11
"LOWDOWN","Boz Scaggs",1976,1
"THE WAY IT IS","Bruce Hornsby & The Range",1986,7
"ATLANTIC CITY","Bruce Springsteen",1982,1
"BACKSTREETS","Bruce Springsteen",1975,1
"BADLANDS","Bruce Springsteen",1978,2
"BLINDED BY THE LIGHT","Bruce Springsteen",1973,1
"BORN IN THE U.S.A.","Bruce Springsteen",1984,14
"BORN TO RUN","Bruce Springsteen",1975,31
"COVER ME","Bruce Springsteen",1984,1
"DANCING IN THE DARK","Bruce Springsteen",1984,10
"GLORY DAYS","Bruce Springsteen",1984,21
"GROWIN' UP","Bruce Springsteen",1973,1
"HUNGRY HEART","Bruce Springsteen",1980,7
"I'M ON FIRE","Bruce Springsteen",1984,14
"IT'S HARD TO BE A SAINT IN THE CITY","Bruce Springsteen",1973,1
"JUNGLELAND","Bruce Springsteen",1975,2
"PINK CADILLAC","Bruce Springsteen",1984,9
"PROVE IT ALL NIGHT","Bruce Springsteen",1978,2
"RACING IN THE STREETS","Bruce Springsteen",1978,1
"ROSALITA (COME OUT TONIGHT)","Bruce Springsteen",1973,5
"SHE'S THE ONE","Bruce Springsteen",1975,1
"SPIRIT IN THE NIGHT","Bruce Springsteen",1973,5
"TENTH AVENUE FREEZE-OUT","Bruce Springsteen",1975,4
"THUNDER ROAD","Bruce Springsteen",1975,7
"CUTS LIKE A KNIFE","Bryan Adams",1983,17
"HEAVEN","Bryan Adams",1984,4
"RUN TO YOU","Bryan Adams",1984,42
"SOMEBODY","Bryan Adams",1984,1
"SUMMER OF '69","Bryan Adams",1984,52
"SORRY","Buckcherry",2007,1
"FOR WHAT IT'S WORTH","Buffalo Springfield",1966,40
"MR. SOUL","Buffalo Springfield",1967,1
"COMEDOWN","Bush",1994,5
"MACHINEHEAD","Bush",1994,3
"FAR BEHIND","Candlebox",1993,3
"GOIN' UP THE COUNTRY","Canned Heat",1968,2
"ON THE ROAD AGAIN","Canned Heat",1968,1
"IT'S TOO LATE","Carole King",1971,1
"WILD WORLD","Cat Stevens",1971,2
"IN AMERICA","Charlie Daniels Band",1980,1
"LONG HAIRED COUNTRY BOY","Charlie Daniels Band",1975,5
"THE DEVIL WENT DOWN TO GEORGIA","Charlie Daniels Band",1979,25
"THE SOUTH'S GONNA DO IT AGAIN","Charlie Daniels Band",1975,1
"UNEASY RIDER","Charlie Daniels Band",1973,2
"I WANT YOU TO WANT ME","Cheap Trick",1977,110
"SURRENDER","Cheap Trick",1978,57
"TAKE OUT THE GUNMAN","Chevelle",2014,4
"25 OR 6 TO 4","Chicago",1970,14
"FEELING STRONGER EVERY","Chicago",1973,2
"MAKE ME SMILE","Chicago",1970,1
"QUESTIONS 67 AND 68","Chicago",1969,1
"SATURDAY IN THE PARK","Chicago",1972,2
"JOHNNY B. GOODE","Chuck Berry",1958,2
"COMING HOME","Cinderella",1988,1
"DON'T KNOW WHAT YOU GOT","Cinderella",1988,3
"GYPSY ROAD","Cinderella",1988,1
"NOBODY'S FOOL","Cinderella",1986,9
"SOMEBODY SAVE ME","Cinderella",1986,1
"SHINE","Collective Soul",1993,20
"THE WORLD I KNOW","Collective Soul",1995,1
"HOT ROD LINCOLN","Commander Cody",1971,2
"MR. JONES","Counting Crows",1993,2
"LOW","Cracker",1993,2
"BADGE","Cream",1969,13
"CROSSROADS","Cream",1968,22
"I'M SO GLAD","Cream",1966,1
"SUNSHINE OF YOUR LOVE","Cream",1967,11
"TALES OF BRAVE ULYSSES","Cream",1967,1
"WHITE ROOM","Cream",1968,68
"HIGHER","Creed",1999,4
"WITH ARMS WIDE OPEN","Creed",1999,1
"BAD MOON RISING","Creedence Clearwater Revival",1969,32
"BORN ON THE BAYOU","Creedence Clearwater Revival",1969,25
"DOWN ON THE CORNER","Creedence Clearwater Revival",1969,30
"FORTUNATE SON","Creedence Clearwater Revival",1970,33
"GREEN RIVER","Creedence Clearwater Revival",1969,3
"HAVE YOU EVER SEEN THE RAIN?","Creedence Clearwater Revival",1971,57
"LODI","Creedence Clearwater Revival",1969,5
"LOOKIN' OUT MY BACK DOOR","Creedence Clearwater Revival",1970,20
"PROUD MARY","Creedence Clearwater Revival",1969,48
"RUN THROUGH THE JUNGLE","Creedence Clearwater Revival",1970,14
"SUZIE Q","Creedence Clearwater Revival",1968,8
"SWEET HITCH HIKER","Creedence Clearwater Revival",1971,1
"TRAVELIN' BAND","Creedence Clearwater Revival",1970,12
"UP AROUND THE BEND","Creedence Clearwater Revival",1970,10
"WHO'LL STOP THE RAIN","Creedence Clearwater Revival",1970,24
"HELPLESSLY HOPING","Crosby, Stills & Nash",1969,1
"LONG TIME GONE","Crosby, Stills & Nash",1969,1
"SOUTHERN CROSS","Crosby, Stills & Nash",1982,9
"SUITE: JUDY BLUE EYES","Crosby, Stills & Nash",1969,10
"CARRY ON","Crosby, Stills, Nash & Young",1970,6
"OHIO","Crosby, Stills, Nash & Young",1970,6
"WOODSTOCK","Crosby, Stills, Nash & Young",1970,37
"(I JUST) DIED IN YOUR ARMS","Cutting Crew",1986,3
"HIGH ENOUGH","Damn Yankees",1990,1
"I HEAR YOU KNOCKING","Dave Edmunds",1970,1
"WE JUST DISAGREE","Dave Mason",1977,1
"WELCOME TO THE BOOMTOWN","David & David",1986,1
"CHANGES","David Bowie",1971,33
"CHINA GIRL","David Bowie",1983,5
"DIAMOND DOGS","David Bowie",1974,1
"FAME","David Bowie",1975,59
"FASHION","David Bowie",1980,17
"GOLDEN YEARS","David Bowie",1975,10
"HEROES","David Bowie",1977,3
"LET'S DANCE","David Bowie",1983,20
"MODERN LOVE","David Bowie",1983,10
"REBEL REBEL","David Bowie",1974,43
"SPACE ODDITY","David Bowie",1969,47
"STARMAN","David Bowie",1972,1
"SUFFRAGETTE CITY","David Bowie",1972,18
"YOUNG AMERICANS","David Bowie",1975,26
"ZIGGY STARDUST","David Bowie",1972,7
"ROCK ON","David Essex",1974,33
"JUST A GIGOLO / I AIN'T GOT NOBODY","David Lee Roth",1985,8
"YANKEE ROSE","David Lee Roth",1986,8
"BURN","Deep Purple",1974,1
"CHILD IN TIME","Deep Purple",1970,1
"HIGHWAY STAR","Deep Purple",1972,22
"HUSH","Deep Purple",1968,14
"KENTUCKY WOMAN","Deep Purple",1968,2
"KNOCKING AT YOUR BACKDOO","Deep Purple",1984,1
"LAZY","Deep Purple",1972,1
"SMOKE ON THE WATER","Deep Purple",1972,43
"ANIMAL","Def Leppard",1987,35
"ARMAGEDDON IT","Def Leppard",1987,23
"HYSTERIA","Def Leppard",1987,24
"LOVE BITES","Def Leppard",1987,25
"PHOTOGRAPH","Def Leppard",1983,88
"POUR SOME SUGAR ON ME","Def Leppard",1987,70
"ROCK OF AGES","Def Leppard",1983,65
"ROCKET","Def Leppard",1987,15
"ENJOY THE SILENCE","Depeche Mode",1990,2
"BELL BOTTOM BLUES","Derek & The Dominos",1970,4
"LAYLA","Derek & The Dominos",1970,99
"BROTHERS IN ARMS","Dire Straits",1985,14
"DOWN TO THE WATERLINE","Dire Straits",1978,12
"EXPRESSO LOVE","Dire Straits",1980,10
"INDUSTRIAL DISEASE","Dire Straits",1982,21
"LADY WRITER","Dire Straits",1979,2
"MONEY FOR NOTHING","Dire Straits",1985,56
"ROMEO AND JULIET","Dire Straits",1980,8
"SO FAR AWAY","Dire Straits",1985,25
"SULTANS OF SWING","Dire Straits",1978,79
"WALK OF LIFE","Dire Straits",1985,15
"COUNTING BLUE CARS","Dishwalla",1995,3
"DRIFT AWAY","Dobie Gray",1973,22
"HEAVY METAL","Don Felder",1981,12
"ALL SHE WANTS TO DO IS DANCE","Don Henley",1985,10
"DIRTY LAUNDRY","Don Henley",1982,37
"SUNSET GRILL","Don Henley",1985,6
"THE BOYS OF SUMMER","Don Henley",1985,73
"THE HEART OF THE MATTER","Don Henley",1989,11
"AMERICAN PIE","Don McLean",1971,21
"AH! LEAH!","Donnie Iris",1980,13
"LOVE IS LIKE A ROCK","Donnie Iris",1981,1
"SEASON OF THE WITCH","Donovan",1966,1
"SUNSHINE SUPERMAN","Donovan",1966,1
"RIGHT PLACE WRONG TIME","Dr. John",1973,2
"RIO","Duran Duran",1982,1
"ALREADY GONE","Eagles",1974,71
"DESPERADO","Eagles",1973,5
"HEARTACHE TONIGHT","Eagles",1979,30
"HOTEL CALIFORNIA","Eagles",1976,109
"I CAN'T TELL YOU WHY","Eagles",1979,2
"IN THE CITY","Eagles",1979,44
"LIFE IN THE FAST LANE","Eagles",1976,86
"LYIN' EYES","Eagles",1975,27
"NEW KID IN TOWN","Eagles",1976,2
"ONE OF THESE NIGHTS","Eagles",1975,48
"PEACEFUL EASY FEELING","Eagles",1972,16
"SEVEN BRIDGES ROAD","Eagles",1980,14
"TAKE IT EASY","Eagles",1972,75
"TAKE IT TO THE LIMIT","Eagles",1975,39
"TEQUILA SUNRISE","Eagles",1973,4
"THE BEST OF MY LOVE","Eagles",1974,4
"THE LONG RUN","Eagles",1979,50
"THOSE SHOES","Eagles",1979,14
"VICTIM OF LOVE","Eagles",1976,5
"WITCHY WOMAN","Eagles",1972,14
"BABY HOLD ON","Eddie Money",1977,26
"TAKE ME HOME TONIGHT","Eddie Money",1986,35
"FREE RIDE","Edgar Winter Group",1973,26
"WAR","Edwin Starr",1970,2
"CAN'T GET IT OUT OF MY HEAD","Electric Light Orchestra",1974,1
"DON'T BRING ME DOWN","Electric Light Orchestra",1979,85
"EVIL WOMAN","Electric Light Orchestra",1975,42
"FIRE ON HIGH","Electric Light Orchestra",1975,18
"LIVIN' THING","Electric Light Orchestra",1976,12
"STRANGE MAGIC","Electric Light Orchestra",1985,5
"SWEET TALKIN' WOMAN","Electric Light Orchestra",1978,3
"TURN TO STONE","Electric Light Orchestra",1978,5
"ALL THE GIRLS LOVE ALICE","Elton John",1973,1
"BENNIE AND THE JETS","Elton John",1973,62
"CANDLE IN THE WIND","Elton John",1973,14
"CAPTAIN FANTASTIC","Elton John",1975,1
"CROCODILE ROCK","Elton John",1972,7
"DANIEL","Elton John",1973,4
"DON'T LET THE SUN GO DOWN ON ME","Elton John",1974,1
"FUNERAL FOR A FRIEND (LOVE LIES BLEEDING)","Elton John",1973,5
"GOODBYE YELLOW BRICK ROAD","Elton John",1973,27
"HARMONY","Elton John",1973,1
"HONKY CAT","Elton John",1972,2
"MADMAN ACROSS THE WATER","Elton John",1971,1
"ROCKET MAN","Elton John",1972,68
"SATURDAY NIGHT'S ALRIGHT FOR FIGHTING","Elton John",1973,34
"SOMEONE SAVED MY LIFE TONIGHT","Elton John",1975,4
"THE BITCH IS BACK","Elton John",1974,1
"TINY DANCER","Elton John",1971,51
"WHERE TO NOW ST. PETER","Elton John",1970,1
"YOUR SONG","Elton John",1970,17
"FOOLED AROUND AND FELL IN LOVE","Elvin Bishop",1975,1
"ALISON","Elvis Costello",1977,13
"PUMP IT UP","Elvis Costello",1978,3
"VERONICA","Elvis Costello",1989,8
"FROM THE BEGINNING","Emerson, Lake & Palmer",1972,1
"KARN EVIL 9","Emerson, Lake & Palmer",1973,11
"LUCKY MAN","Emerson, Lake & Palmer",1970,8
"STILL YOU TURN ME ON","Emerson, Lake & Palmer",1973,1
"AFTER MIDNIGHT","Eric Clapton",1970,16
"BAD LOVE","Eric Clapton",1989,14
"COCAINE","Eric Clapton",1977,84
"FOREVER MAN","Eric Clapton",1985,9
"I CAN'T STAND IT","Eric Clapton",1981,9
"I SHOT THE SHERIFF","Eric Clapton",1974,39
"IT'S IN THE WAY THAT YOU USE IT","Eric Clapton",1986,10
"LAY DOWN SALLY","Eric Clapton",1977,10
"LET IT GROW","Eric Clapton",1974,4
"LET IT RAIN","Eric Clapton",1970,24
"PRETENDING","Eric Clapton",1989,6
"SHE'S WAITING","Eric Clapton",1985,3
"THE CORE","Eric Clapton",1977,1
"WONDERFUL TONIGHT","Eric Clapton",1977,15
"CLIFFS OF DOVER","Eric Johnson",1990,2
"THE FINAL COUNTDOWN","Europe",1986,5
"SWEET DREAMS (ARE MADE OF THIS)","Eurythmics",1982,2
"SANTA MONICA","Everclear",1996,2
"WHAT IT'S LIKE","Everlast",1999,4
"MORE THAN WORDS","Extreme",1991,1
"OOH LA LA","Faces",1973,1
"STAY WITH ME","Faces",1971,19
"EPIC","Faith No More",1989,3
"HOUSE OF PAIN","Faster Pussycat",1990,1
"SIGNS","Five Man Electrical Band",1970,10
"DON'T STOP","Fleetwood Mac",1977,50
"DREAMS","Fleetwood Mac",1977,53
"GO YOUR OWN WAY","Fleetwood Mac",1977,77
"GOLD DUST WOMAN","Fleetwood Mac",1977,37
"GYPSY","Fleetwood Mac",1982,67
"HOLD ME","Fleetwood Mac",1982,1
"HYPNOTIZED","Fleetwood Mac",1973,2
"I DON'T WANT TO KNOW","Fleetwood Mac",1977,3
"LANDSLIDE","Fleetwood Mac",1975,29
"LITTLE LIES","Fleetwood Mac",1987,1
"MONDAY MORNING","Fleetwood Mac",1975,30
"NEVER GOING BACK AGAIN","Fleetwood Mac",1977,1
"OH WELL","Fleetwood Mac",1969,10
"RHIANNON","Fleetwood Mac",1975,48
"SARA","Fleetwood Mac",1980,1
"SECOND HAND NEWS","Fleetwood Mac",1977,4
"THE CHAIN","Fleetwood Mac",1977,65
"TUSK","Fleetwood Mac",1979,6
"YOU MAKE LOVING FUN","Fleetwood Mac",1977,31
"HOCUS POCUS","Focus",1971,6
"FOOL FOR THE CITY","Foghat",1975,26
"SLOW RIDE","Foghat",1975,77
"ALL MY LIFE","Foo Fighters",2002,2
"BEST OF YOU","Foo Fighters",2005,1
"EVERLONG","Foo Fighters",1997,6
"LEARN TO FLY","Foo Fighters",1999,10
"MONKEY WRENCH","Foo Fighters",1997,3
"MY HERO","Foo Fighters",1997,7
"THE PRETENDER","Foo Fighters",2007,1
"THESE DAYS","Foo Fighters",2011,2
"TIMES LIKE THESE","Foo Fighters",2002,1
"COLD AS ICE","Foreigner",1977,102
"DIRTY WHITE BOY","Foreigner",1979,17
"DOUBLE VISION","Foreigner",1978,83
"FEELS LIKE THE FIRST TIME","Foreigner",1977,75
"HOT BLOODED","Foreigner",1978,82
"I WANT TO KNOW WHAT LOVE IS","Foreigner",1984,4
"JUKE BOX HERO","Foreigner",1981,75
"THAT WAS YESTERDAY","Foreigner",1984,4
"URGENT","Foreigner",1981,61
"WAITING FOR A GIRL LIKE YOU","Foreigner",1981,5
"JOE'S GARAGE","Frank Zappa",1979,1
"ALL RIGHT NOW","Free",1970,97
"WISHING WELL","Free",1973,1
"MAGGOT BRAIN","Funkadelic",1971,1
"CARS","Gary Numan",1979,1
"DREAM WEAVER","Gary Wright",1975,9
"A TRICK OF THE TAIL","Genesis",1976,1
"ABACAB","Genesis",1981,35
"FOLLOW YOU FOLLOW ME","Genesis",1978,18
"HOME BY THE SEA/SECOND HOME BY THE SEA","Genesis",1983,1
"LAND OF CONFUSION","Genesis",1986,17
"MAMA","Genesis",1983,17
"MAN ON THE CORNER","Genesis",1981,12
"MISUNDERSTANDING","Genesis",1980,23
"NO REPLY AT ALL","Genesis",1981,18
"THAT'S ALL","Genesis",1983,35
"THE LAMB LIES DOWN ON BROADWAY","Genesis",1974,23
"TONIGHT TONIGHT (LIVE)","Genesis",1986,1
"TURN IT ON AGAIN","Genesis",1980,23
"GIVE ME LOVE","George Harrison",1973,3
"GOT MY MIND SET ON YOU","George Harrison",1987,1
"MY SWEET LORD","George Harrison",1970,6
"BAD TO THE BONE","George Thorogood",1982,63
"I DRINK ALONE","George Thorogood",1985,33
"KEEP YOUR HANDS TO YOURSELF","Georgia Satellites",1986,17
"BAKER STREET","Gerry Rafferty",1978,16
"RIGHT DOWN THE LINE","Gerry Rafferty",1978,8
"FOUND OUT ABOUT YOU","Gin Blossoms",1993,1
"HEY JEALOUSY","Gin Blossoms",1992,3
"SMUGGLER'S BLUES","Glenn Frey",1984,3
"YOU BELONG TO THE CITY","Glenn Frey",1985,2
"ARE YOU RECEIVING ME","Golden Earring",1973,1
"RADAR LOVE","Golden Earring",1973,66
"TWILIGHT ZONE","Golden Earring",1983,75
"SUNDOWN","Gordon Lightfoot",1974,7
"BAD TIME","Grand Funk Railroad",1974,1
"CLOSER TO HOME (I'M YOUR CAPTAIN)","Grand Funk Railroad",1970,8
"LOCO-MOTION","Grand Funk Railroad",1974,9
"SHININ' ON","Grand Funk Railroad",1974,1
"SOME KIND OF WONDERFUL","Grand Funk Railroad",1975,14
"WE'RE AN AMERICAN BAND","Grand Funk Railroad",1973,25
"CASEY JONES","Grateful Dead",1970,3
"FRIEND OF THE DEVIL","Grateful Dead",1970,2
"SUGAR MAGNOLIA","Grateful Dead",1970,3
"TOUCH OF GREY","Grateful Dead",1987,26
"TRUCKIN'","Grateful Dead",1970,19
"UNCLE JOHN'S BAND","Grateful Dead",1969,9
"ONCE BITTEN, TWICE SHY","Great White",1989,12
"BASKET CASE","Green Day",1994,5
"BOULEVARD OF BROKEN DREAMS","Green Day",2004,6
"BRAIN STEW/JADED","Green Day",1995,1
"GOOD RIDDANCE (TIME OF YOUR LIFE)","Green Day",1997,10
"HOLIDAY (LIVE)","Green Day",2004,4
"HOLIDAY / BOULEVARD OF BROKEN DREAMS","Green Day",2004,5
"LONGVIEW","Green Day",1994,2
"WHEN I COME AROUND","Green Day",1994,14
"THE BREAK UP SONG","Greg Kihn Band",1981,49
"I'M NO ANGEL","Gregg Allman",1987,17
"MIDNIGHT RIDER","Gregg Allman",1970,6
"AMERICAN WOMAN","Guess Who",1970,80
"NO SUGAR TONIGHT / NEW MOTHER NATURE","Guess Who",1970,11
"THESE EYES","Guess Who",1969,1
"CIVIL WAR","Guns N' Roses",1991,1
